ID_SAMPLE,GENE,SIMILARITY_RATE,WITHIN_THRESHOLD?
1065572,BRAF,1,NO
888440,BRAF,4,NO
2013698,BRAF,0,NO
1941869,BRAF,9,NO
2121657,BRAF,1,NO
1223360,BRAF,4,NO
1812321,BRAF,15,NO
2349891,BRAF,5,NO
906085,BRAF,0,NO
2686518,BRAF,1,NO
888295,BRAF,1,NO
1686929,BRAF,0,NO
1470180,BRAF,2,NO
1335218,BRAF,1,NO
1586020,BRAF,18,NO
1751752,BRAF,5,NO
1757120,BRAF,5,NO
684530,BRAF,1,NO
1539818,BRAF,0,NO
886155,BRAF,2,NO
1154140,BRAF,2,NO
2579074,BRAF,0,NO
2492701,BRAF,19,NO
